time,avRad,maxRad,avTemp,avMass
0,0.114175,0.114175,7.44189,0.0130359
0.5,0.286345,0.458515,244.713,0.111636
1,0.347223,0.468979,335.055,0.147738
1.5,0.383802,0.578717,486.175,0.186062
2,0.337612,0.578717,374.488,0.149451
2.5,0.304431,0.578717,304.653,0.125457
3,0.294004,0.578717,265.668,0.114298
3.5,0.284437,0.578717,264.581,0.112662
4,0.299093,0.578717,268.194,0.117967
4.5,0.289303,0.578717,280.926,0.117267
5,0.297466,0.578717,313.075,0.125629
5.5,0.323345,0.691967,460.356,0.157426
6,0.341707,0.691967,460.497,0.164107
6.5,0.331003,0.691967,413.43,0.15179
7,0.378115,0.706734,646.73,0.20629
7.5,0.379574,0.716948,657.821,0.208367
8,0.338057,0.716948,575.66,0.182602
8.5,0.310218,0.716948,512.07,0.163164
9,0.323975,0.716948,531.375,0.171522
9.5,0.333694,0.716948,515.59,0.172108
10,0.320652,0.716948,511.809,0.168617
10.5,0.302828,0.716948,447.014,0.151164
11,0.303346,0.716948,448.067,0.151545
11.5,0.328206,0.716948,460.985,0.160084
12,0.304322,0.716948,419.205,0.14592
12.5,0.323135,0.716948,465.251,0.160952
13,0.308153,0.716948,427.708,0.149252
13.5,0.289453,0.716948,394.913,0.138096
14,0.284963,0.716948,370.86,0.1319
14.5,0.250622,0.691967,255.762,0.10076
15,0.271715,0.691967,281.306,0.111182
15.5,0.264406,0.691967,265.335,0.105613
16,0.255918,0.691967,245.014,0.099014
16.5,0.249864,0.691967,228.307,0.0938133
17,0.259331,0.691967,230.474,0.0960533
17.5,0.233918,0.502974,121.225,0.0692789
18,0.254026,0.502974,137.305,0.0780548
18.5,0.266003,0.502974,154.282,0.0851821
19,0.273205,0.455386,159.576,0.0889172
19.5,0.270339,0.455386,152.353,0.0863599
20,0.282108,0.455386,156.256,0.0897019
20.5,0.272127,0.455386,146.125,0.0847423
21,0.2655,0.455386,138.101,0.0810819
21.5,0.259554,0.455386,131.015,0.0778281
22,0.267723,0.455386,141.912,0.0825885
22.5,0.264663,0.455386,140.447,0.0814988
23,0.264537,0.493358,152.21,0.083711
23.5,0.291946,0.493358,193.338,0.100452
24,0.288669,0.493358,185.549,0.0977591
24.5,0.284296,0.493358,183.114,0.0960832
25,0.292489,0.493358,194.461,0.101023
25.5,0.299714,0.493358,202.037,0.104602
26,0.28455,0.493358,189.467,0.0982686
26.5,0.300704,0.493358,212.562,0.107947
27,0.297055,0.493358,211.573,0.106974
27.5,0.286792,0.493358,199.67,0.101565
28,0.289494,0.493358,199.061,0.102174
28.5,0.279818,0.493358,182.442,0.0956977
29,0.274966,0.493358,174.578,0.0925138
29.5,0.254763,0.493358,151.314,0.082253
30,0.254562,0.493358,150.694,0.0820708
30.5,0.251375,0.493358,151.571,0.0814008
31,0.260758,0.564757,184.376,0.0904144
31.5,0.262678,0.576173,194.457,0.0931242
32,0.273003,0.580788,217.173,0.101079
32.5,0.276355,0.580788,237.13,0.106721
33,0.30352,0.580788,277.829,0.122973
33.5,0.32503,0.580788,305.623,0.135113
34,0.302124,0.580788,283.792,0.125463
34.5,0.323812,0.580788,303.728,0.135827
35,0.30124,0.580788,272.517,0.122583
35.5,0.295208,0.580788,255.809,0.116973
36,0.276726,0.580788,237.554,0.108713
36.5,0.295915,0.580788,250.383,0.116248
37,0.302399,0.580788,253.951,0.118804
37.5,0.308142,0.586277,299.909,0.129509
38,0.314957,0.586277,319.624,0.135485
38.5,0.305612,0.586277,299.023,0.128229
39,0.332499,0.586277,318.738,0.138583
39.5,0.325147,0.586277,301.147,0.132637
40,0.345432,0.586277,314.318,0.140288
40.5,0.339331,0.586277,299.428,0.135358
41,0.328363,0.586277,288.517,0.130394
41.5,0.332705,0.586277,290.162,0.132136
42,0.318693,0.586277,271.763,0.124046
42.5,0.29046,0.580788,209.551,0.103695
43,0.274575,0.580788,197.227,0.0976194
43.5,0.254765,0.580788,188.845,0.0915651
44,0.262253,0.580788,194.141,0.094766
44.5,0.246097,0.580788,163.712,0.0836066
45,0.236541,0.580788,154.73,0.0792667
45.5,0.235848,0.580788,154.4,0.0791731
46,0.240174,0.580788,154.722,0.079754
46.5,0.248182,0.580788,174.981,0.0863012
47,0.254789,0.580788,190.285,0.0914762
47.5,0.241512,0.580788,176.997,0.0849349
48,0.224563,0.580788,165.763,0.0783219
48.5,0.236265,0.580788,178.349,0.084264
49,0.243335,0.580788,190.706,0.0890114
49.5,0.232778,0.580788,179.565,0.0840153
50,0.247102,0.580788,201.535,0.0927721
50.5,0.223267,0.476871,145.963,0.0753047
51,0.211051,0.476871,135.738,0.0698681
51.5,0.227635,0.476871,147.049,0.0756783
52,0.227635,0.476871,147.049,0.0756783
52.5,0.242524,0.476871,160.299,0.0821875
53,0.242524,0.476871,160.299,0.0821875
53.5,0.233413,0.476871,157.759,0.0792745
54,0.241798,0.476871,173.098,0.0853109
54.5,0.241798,0.476871,173.098,0.0853109
