time,id,x,y,z,rad,timeLife,mass,temp,charge
0,0,5,1,5,0.286014,0.5,0.0818039,116.985,-0.825822
0.5,0,4.64535,1.16447,4.78371,0.286014,1,0.0818039,116.985,-0.825822
0.5,1,5,1,5,0.00810887,0.5,6.57537e-05,0.00266594,0.99641
1,0,4.2907,1.32895,4.56741,0.286014,1.5,0.0818039,116.985,-0.825822
1,1,4.92136,1.34963,4.71223,0.00810887,1,6.57537e-05,0.00266594,0.99641
1,2,5,1,5,0.418254,0.5,0.174937,365.84,-0.796525
1.5,0,3.93605,1.49342,4.35112,0.286014,2,0.0818039,116.985,-0.825822
1.5,1,4.84273,1.69926,4.42445,0.00810887,1.5,6.57537e-05,0.00266594,0.99641
1.5,2,5.36319,1.08332,4.88022,0.430062,1,0.184953,397.707,0.192739
2,0,3.58139,1.65789,4.13483,0.286014,2.5,0.0818039,116.985,-0.825822
2,1,4.76409,2.0489,4.13668,0.00810887,2,6.57537e-05,0.00266594,0.99641
2,2,5.71044,1.19416,4.76574,0.430062,1.5,0.184953,397.707,0.192739
2,3,5,1,5,0.414177,0.5,0.171543,355.246,-0.0746033
2.5,0,3.22674,1.82237,3.91854,0.286014,3,0.0818039,116.985,-0.825822
2.5,1,4.68546,2.39853,3.8489,0.00810887,2.5,6.57537e-05,0.00266594,0.99641
2.5,2,6.0577,1.305,4.65126,0.430062,2,0.184953,397.707,0.192739
2.5,3,4.94185,1.37716,4.76193,0.414177,1,0.171543,355.246,-0.0746033
2.5,4,5,1,5,0.0689095,0.5,0.00474852,1.63609,-0.996426
3,0,2.87209,1.98684,3.70224,0.286014,3.5,0.0818039,116.985,-0.825822
3,1,4.60682,2.74816,3.56113,0.00810887,3,6.57537e-05,0.00266594,0.99641
3,2,6.40495,1.41584,4.53678,0.430062,2.5,0.184953,397.707,0.192739
3,3,4.8837,1.75432,4.52386,0.414177,1.5,0.171543,355.246,-0.0746033
3,4,4.53291,1.23902,4.84023,0.0689095,1,0.00474852,1.63609,-0.996426
3,5,5,1,5,0.379753,0.5,0.144212,273.824,0.247786
3.5,0,2.51744,2.15131,3.48595,0.286014,4,0.0818039,116.985,-0.825822
3.5,1,4.52819,3.09779,3.27335,0.00810887,3.5,6.57537e-05,0.00266594,0.99641
3.5,2,6.7522,1.52667,4.42229,0.430062,3,0.184953,397.707,0.192739
3.5,3,4.82555,2.13149,4.28578,0.414177,2,0.171543,355.246,-0.0746033
3.5,4,4.06581,1.47804,4.68046,0.0689095,1.5,0.00474852,1.63609,-0.996426
3.5,5,4.90203,1.12388,5.15277,0.382477,1,0.146288,279.759,-0.53745
4,0,2.16279,2.31578,3.26966,0.286014,4.5,0.0818039,116.985,-0.825822
4,1,4.44955,3.44743,2.98558,0.00810887,4,6.57537e-05,0.00266594,0.99641
4,2,7.09946,1.63751,4.30781,0.430062,3.5,0.184953,397.707,0.192739
4,3,4.7674,2.50865,4.04771,0.414177,2.5,0.171543,355.246,-0.0746033
4,4,3.59872,1.71705,4.52069,0.0689095,2,0.00474852,1.63609,-0.996426
4,5,4.91771,1.10682,5.13026,0.586361,1.5,0.343819,1008.01,0.437453
4.5,0,1.80814,2.48026,3.05336,0.286014,5,0.0818039,116.985,-0.825822
4.5,1,4.37092,3.79706,2.69781,0.00810887,4.5,6.57537e-05,0.00266594,0.99641
4.5,2,7.44671,1.74835,4.19333,0.430062,4,0.184953,397.707,0.192739
4.5,3,4.70925,2.88581,3.80964,0.414177,3,0.171543,355.246,-0.0746033
4.5,4,3.13163,1.95607,4.36092,0.0689095,2.5,0.00474852,1.63609,-0.996426
4.5,5,4.79179,1.2479,5.06582,0.623187,2,0.388362,1210.11,0.494016
5,0,1.45348,2.64473,2.83707,0.286014,5.5,0.0818039,116.985,-0.825822
5,1,4.29228,4.14669,2.41003,0.00810887,5,6.57537e-05,0.00266594,0.99641
5,2,7.79396,1.85919,4.07884,0.430062,4.5,0.184953,397.707,0.192739
5,3,4.65111,3.26297,3.57157,0.414177,3.5,0.171543,355.246,-0.0746033
5,4,2.66453,2.19509,4.20115,0.0689095,3,0.00474852,1.63609,-0.996426
5,5,4.7743,1.28956,4.9959,0.775508,2.5,0.601413,2332,-0.237536
5.5,0,1.09883,2.8092,2.62078,0.286014,6,0.0818039,116.985,-0.825822
5.5,1,4.21365,4.49632,2.12226,0.00810887,5.5,6.57537e-05,0.00266594,0.99641
5.5,2,8.14122,1.97003,3.96436,0.430062,5,0.184953,397.707,0.192739
5.5,3,4.59296,3.64013,3.33349,0.414177,4,0.171543,355.246,-0.0746033
5.5,4,2.19744,2.43411,4.04137,0.0689095,3.5,0.00474852,1.63609,-0.996426
5.5,5,4.7997,1.34537,5.0858,0.860344,3,0.740192,3184.1,-1.02009
6,0,0.744181,2.97368,2.40449,0.286014,6.5,0.0818039,116.985,-0.825822
6,1,4.13501,4.84596,1.83448,0.00810887,6,6.57537e-05,0.00266594,0.99641
6,2,8.48847,2.08087,3.84988,0.430062,5.5,0.184953,397.707,0.192739
6,3,4.53481,4.0173,3.09542,0.414177,4.5,0.171543,355.246,-0.0746033
6,4,1.73034,2.67313,3.8816,0.0689095,4,0.00474852,1.63609,-0.996426
6,5,4.86539,1.34973,5.11161,0.983886,3.5,0.968032,4762.16,-1.69854
6.5,0,0.38953,3.13815,2.18819,0.286014,7,0.0818039,116.985,-0.825822
6.5,1,4.05638,5.19559,1.54671,0.00810887,6.5,6.57537e-05,0.00266594,0.99641
