time,id,x,y,z,rad,timeLife,mass,temp,charge
0,0,5,1,5,0.323018,0.5,0.10434,168.519,0.782427
0.5,0,4.66494,1.19242,5.3195,0.323018,1,0.10434,168.519,0.782427
0.5,1,5,1,5,0.105492,0.5,0.0111285,5.86985,-0.836435
1,0,4.32987,1.38485,5.639,0.323018,1.5,0.10434,168.519,0.782427
1,1,5.0088,1.00144,5.01066,0.446945,1,0.19976,446.409,-0.844154
1.5,0,3.99481,1.57727,5.9585,0.323018,2,0.10434,168.519,0.782427
1.5,1,4.85054,1.45822,5.03567,0.446945,1.5,0.19976,446.409,-0.844154
1.5,2,5,1,5,0.133644,0.5,0.0178608,11.9349,-0.603034
2,0,3.65975,1.76969,6.278,0.323018,2.5,0.10434,168.519,0.782427
2,1,4.69228,1.91501,5.06067,0.446945,2,0.19976,446.409,-0.844154
2,2,4.89529,1.14365,5.35871,0.133644,1,0.0178608,11.9349,-0.603034
2,3,5,1,5,0.27473,0.5,0.0754767,103.679,-0.0203291
2.5,0,3.32468,1.96211,6.5975,0.323018,3,0.10434,168.519,0.782427
2.5,1,4.53401,2.37179,5.08567,0.446945,2.5,0.19976,446.409,-0.844154
2.5,2,4.79057,1.2873,5.71742,0.133644,1.5,0.0178608,11.9349,-0.603034
2.5,3,4.90921,1.0788,5.29964,0.27473,1,0.0754767,103.679,-0.0203291
2.5,4,5,1,5,0.00375198,0.5,1.40774e-05,0.000264091,-0.404632
3,0,2.98962,2.15454,6.917,0.323018,3.5,0.10434,168.519,0.782427
3,1,4.37575,2.82858,5.11068,0.446945,3,0.19976,446.409,-0.844154
3,2,4.68586,1.43095,6.07613,0.133644,2,0.0178608,11.9349,-0.603034
3,3,4.81842,1.1576,5.59929,0.27473,1.5,0.0754767,103.679,-0.0203291
3,4,4.99999,1.00004,5.00002,0.292101,1,0.0853233,124.615,0.320748
3.5,0,2.65456,2.34696,7.2365,0.323018,4,0.10434,168.519,0.782427
3.5,1,4.21749,3.28537,5.13568,0.446945,3.5,0.19976,446.409,-0.844154
3.5,2,4.58115,1.5746,6.43485,0.133644,2.5,0.0178608,11.9349,-0.603034
3.5,3,4.72762,1.23639,5.89893,0.27473,2,0.0754767,103.679,-0.0203291
3.5,4,5.13956,1.32666,5.16151,0.292101,1.5,0.0853233,124.615,0.320748
3.5,5,5,1,5,0.311702,0.5,0.0971583,151.422,-0.254388
4,0,2.31949,2.53938,7.556,0.323018,4.5,0.10434,168.519,0.782427
4,1,4.05922,3.74215,5.16068,0.446945,4,0.19976,446.409,-0.844154
4,2,4.47643,1.71825,6.79356,0.133644,3,0.0178608,11.9349,-0.603034
4,3,4.63683,1.31519,6.19858,0.27473,2.5,0.0754767,103.679,-0.0203291
4,4,5.27913,1.65328,5.32301,0.292101,2,0.0853233,124.615,0.320748
4,5,4.96163,1.0866,4.97985,0.560482,1,0.31414,880.35,-0.319191
4.5,0,1.98443,2.73181,7.8755,0.323018,5,0.10434,168.519,0.782427
4.5,1,3.90096,4.19894,5.18569,0.446945,4.5,0.19976,446.409,-0.844154
4.5,2,4.37172,1.86189,7.15227,0.133644,3.5,0.0178608,11.9349,-0.603034
4.5,3,4.54604,1.39399,6.49822,0.27473,3,0.0754767,103.679,-0.0203291
4.5,4,5.41869,1.9799,5.4845,0.292101,2.5,0.0853233,124.615,0.320748
4.5,5,4.89415,1.33404,5.01331,0.571455,1.5,0.326561,933.075,0.397251
5,0,1.64937,2.92423,8.195,0.323018,5.5,0.10434,168.519,0.782427
5,1,3.7427,4.65572,5.21069,0.446945,5,0.19976,446.409,-0.844154
5,2,4.26701,2.00554,7.51098,0.133644,4,0.0178608,11.9349,-0.603034
5,3,4.45525,1.47279,6.79787,0.27473,3.5,0.0754767,103.679,-0.0203291
5,4,5.55826,2.30653,5.64599,0.292101,3,0.0853233,124.615,0.320748
5,5,4.83393,1.58807,5.04277,0.571455,2,0.326561,933.075,0.397251
5,6,5,1,5,0.469909,0.5,0.220815,518.815,-0.455743
5.5,0,1.3143,3.11665,8.5145,0.323018,6,0.10434,168.519,0.782427
5.5,1,3.58443,5.11251,5.23569,0.446945,5.5,0.19976,446.409,-0.844154
5.5,2,4.1623,2.14919,7.86969,0.133644,4.5,0.0178608,11.9349,-0.603034
5.5,3,4.36446,1.55159,7.09751,0.27473,4,0.0754767,103.679,-0.0203291
5.5,4,5.69783,2.63315,5.80749,0.292101,3.5,0.0853233,124.615,0.320748
5.5,5,4.7737,1.84209,5.07222,0.571455,2.5,0.326561,933.075,0.397251
5.5,6,5.27624,1.07078,4.82428,0.546552,1,0.298719,816.328,0.250466
6,0,0.979238,3.30907,8.834,0.323018,6.5,0.10434,168.519,0.782427
6,1,3.42617,5.56929,5.2607,0.446945,6,0.19976,446.409,-0.844154
6,2,4.05758,2.29284,8.2284,0.133644,5,0.0178608,11.9349,-0.603034
6,3,4.27367,1.63039,7.39715,0.27473,4.5,0.0754767,103.679,-0.0203291
6,4,5.8374,2.95977,5.96898,0.292101,4,0.0853233,124.615,0.320748
6,5,4.71347,2.09612,5.10168,0.571455,3,0.326561,933.075,0.397251
6,6,5.51944,1.18549,4.68679,0.546552,1.5,0.298719,816.328,0.250466
6,7,5,1,5,0.473271,0.5,0.223985,530.029,0.880148
6.5,0,0.644175,3.5015,9.1535,0.323018,7,0.10434,168.519,0.782427
6.5,1,3.26791,6.02608,5.2857,0.446945,6.5,0.19976,446.409,-0.844154
6.5,2,3.95287,2.43649,8.58711,0.133644,5.5,0.0178608,11.9349,-0.603034
6.5,3,4.18287,1.70918,7.6968,0.27473,5,0.0754767,103.679,-0.0203291
6.5,4,5.97697,3.28639,6.13047,0.292101,4.5,0.0853233,124.615,0.320748
6.5,5,4.65324,2.35015,5.13114,0.571455,3.5,0.326561,933.075,0.397251
6.5,6,5.76264,1.30021,4.5493,0.546552,2,0.298719,816.328,0.250466
6.5,7,4.45924,1.35172,5.26236,0.473271,1,0.223985,530.029,0.880148
6.5,8,5,1,5,0.0794286,0.5,0.00630891,2.50554,0.147496
7,0,3.10964,6.48287,5.3107,0.446945,7,0.19976,446.409,-0.844154
7,1,3.84816,2.58014,8.94583,0.133644,6,0.0178608,11.9349,-0.603034
7,2,4.09208,1.78798,7.99644,0.27473,5.5,0.0754767,103.679,-0.0203291
7,3,6.11653,3.61301,6.29197,0.292101,5,0.0853233,124.615,0.320748
7,4,4.59301,2.60418,5.1606,0.571455,4,0.326561,933.075,0.397251
7,5,6.00584,1.41493,4.41181,0.546552,2.5,0.298719,816.328,0.250466
7,6,3.91847,1.70345,5.52472,0.473271,1.5,0.223985,530.029,0.880148
7,7,4.71514,1.22721,5.1267,0.0794286,1,0.00630891,2.50554,0.147496
7,8,5,1,5,0.0117172,0.5,0.000137292,0.00804337,-0.722807
7.5,0,2.95138,6.93965,5.33571,0.446945,7.5,0.19976,446.409,-0.844154
7.5,1,3.74344,2.72379,9.30454,0.133644,6.5,0.0178608,11.9349,-0.603034
7.5,2,4.00129,1.86678,8.29609,0.27473,6,0.0754767,103.679,-0.0203291
7.5,3,6.2561,3.93964,6.45346,0.292101,5.5,0.0853233,124.615,0.320748
7.5,4,4.53278,2.85821,5.19006,0.571455,4.5,0.326561,933.075,0.397251
7.5,5,6.24904,1.52965,4.27432,0.546552,3,0.298719,816.328,0.250466
7.5,6,3.37771,2.05517,5.78708,0.473271,2,0.223985,530.029,0.880148
7.5,7,4.43029,1.45443,5.2534,0.0794286,1.5,0.00630891,2.50554,0.147496
7.5,8,5.31871,1.27234,5.05862,0.0117172,1,0.000137292,0.00804337,-0.722807
7.5,9,5,1,5,0.135882,0.5,0.0184639,12.5446,0.33894
8,0,2.79312,7.39644,5.36071,0.446945,8,0.19976,446.409,-0.844154
8,1,3.63873,2.86744,9.66325,0.133644,7,0.0178608,11.9349,-0.603034
8,2,3.9105,1.94558,8.59573,0.27473,6.5,0.0754767,103.679,-0.0203291
8,3,6.39567,4.26626,6.61495,0.292101,6,0.0853233,124.615,0.320748
8,4,4.47255,3.11224,5.21952,0.571455,5,0.326561,933.075,0.397251
8,5,6.49223,1.64436,4.13683,0.546552,3.5,0.298719,816.328,0.250466
8,6,2.83695,2.40689,6.04945,0.473271,2.5,0.223985,530.029,0.880148
8,7,4.14543,1.68164,5.38011,0.0794286,2,0.00630891,2.50554,0.147496
8,8,5.63742,1.54467,5.11723,0.0117172,1.5,0.000137292,0.00804337,-0.722807
8,9,5.09206,1.55571,5.16751,0.135882,1,0.0184639,12.5446,0.33894
8,10,5,1,5,0.0149051,0.5,0.000222162,0.0165567,-0.0345042
8.5,0,2.63485,7.85322,5.38572,0.446945,8.5,0.19976,446.409,-0.844154
8.5,1,3.81971,2.02438,8.89538,0.27473,7,0.0754767,103.679,-0.0203291
8.5,2,6.53524,4.59288,6.77645,0.292101,6.5,0.0853233,124.615,0.320748
8.5,3,4.41232,3.36626,5.24898,0.571455,5.5,0.326561,933.075,0.397251
8.5,4,6.73543,1.75908,3.99934,0.546552,4,0.298719,816.328,0.250466
8.5,5,2.29618,2.75862,6.31181,0.473271,3,0.223985,530.029,0.880148
8.5,6,3.86058,1.90886,5.50681,0.0794286,2.5,0.00630891,2.50554,0.147496
8.5,7,5.95613,1.81701,5.17585,0.0117172,2,0.000137292,0.00804337,-0.722807
8.5,8,5.18412,2.11141,5.33501,0.135882,1.5,0.0184639,12.5446,0.33894
8.5,9,5.00045,1.00012,5.00016,0.375922,1,0.141317,265.621,0.762386
9,0,2.47659,8.31001,5.41072,0.446945,9,0.19976,446.409,-0.844154
9,1,3.72892,2.10317,9.19502,0.27473,7.5,0.0754767,103.679,-0.0203291
9,2,6.6748,4.9195,6.93794,0.292101,7,0.0853233,124.615,0.320748
9,3,4.35209,3.62029,5.27844,0.571455,6,0.326561,933.075,0.397251
9,4,6.97863,1.8738,3.86185,0.546552,4.5,0.298719,816.328,0.250466
9,5,1.75542,3.11034,6.57417,0.473271,3.5,0.223985,530.029,0.880148
9,6,3.57572,2.13607,5.63351,0.0794286,3,0.00630891,2.50554,0.147496
9,7,6.27485,2.08934,5.23447,0.0117172,2.5,0.000137292,0.00804337,-0.722807
9,8,5.27618,2.66712,5.50252,0.135882,2,0.0184639,12.5446,0.33894
9,9,5.03095,1.11043,4.90996,0.617149,1.5,0.380873,1175.28,-0.200532
9.5,0,2.31833,8.76679,5.43572,0.446945,9.5,0.19976,446.409,-0.844154
9.5,1,3.63812,2.18197,9.49466,0.27473,8,0.0754767,103.679,-0.0203291
9.5,2,6.81437,5.24612,7.09943,0.292101,7.5,0.0853233,124.615,0.320748
9.5,3,4.29187,3.87432,5.3079,0.571455,6.5,0.326561,933.075,0.397251
9.5,4,7.22183,1.98851,3.72436,0.546552,5,0.298719,816.328,0.250466
9.5,5,1.21466,3.46206,6.83653,0.473271,4,0.223985,530.029,0.880148
9.5,6,3.29086,2.36328,5.76021,0.0794286,3.5,0.00630891,2.50554,0.147496
9.5,7,6.59356,2.36168,5.29308,0.0117172,3,0.000137292,0.00804337,-0.722807
9.5,8,5.36823,3.22283,5.67002,0.135882,2.5,0.0184639,12.5446,0.33894
9.5,9,5.11043,1.64825,4.50702,0.617149,2,0.380873,1175.28,-0.200532
9.5,10,5,1,5,0.048464,0.5,0.00234876,0.569152,0.0566974
10,0,2.16006,9.22358,5.46073,0.446945,10,0.19976,446.409,-0.844154
10,1,6.95394,5.57275,7.26093,0.292101,8,0.0853233,124.615,0.320748
10,2,4.23164,4.12835,5.33736,0.571455,7,0.326561,933.075,0.397251
10,3,7.46503,2.10323,3.58687,0.546552,5.5,0.298719,816.328,0.250466
10,4,0.673894,3.81378,7.09889,0.473271,4.5,0.223985,530.029,0.880148
10,5,3.00601,2.5905,5.88692,0.0794286,4,0.00630891,2.50554,0.147496
10,6,6.91227,2.63402,5.3517,0.0117172,3.5,0.000137292,0.00804337,-0.722807
10,7,5.46029,3.77853,5.83753,0.135882,3,0.0184639,12.5446,0.33894
10,8,5.1899,2.18607,4.10409,0.617149,2.5,0.380873,1175.28,-0.200532
10,9,4.77548,1.29817,5.09544,0.048464,1,0.00234876,0.569152,0.0566974
10,10,5,1,5,0.254188,0.5,0.0646117,82.1176,-0.791136
10.5,0,7.09351,5.89937,7.42242,0.292101,8.5,0.0853233,124.615,0.320748
10.5,1,4.17141,4.38238,5.36682,0.571455,7.5,0.326561,933.075,0.397251
10.5,2,7.70822,2.21795,3.44937,0.546552,6,0.298719,816.328,0.250466
10.5,3,2.72115,2.81771,6.01362,0.0794286,4.5,0.00630891,2.50554,0.147496
10.5,4,7.23098,2.90635,5.41032,0.0117172,4,0.000137292,0.00804337,-0.722807
10.5,5,5.55235,4.33424,6.00503,0.135882,3.5,0.0184639,12.5446,0.33894
10.5,6,5.26938,2.72389,3.70116,0.617149,3,0.380873,1175.28,-0.200532
10.5,7,4.55095,1.59633,5.19088,0.048464,1.5,0.00234876,0.569152,0.0566974
10.5,8,5.0097,1.0341,5.02681,0.484968,1,0.235194,570.309,-1.60607
11,0,7.23307,6.22599,7.58392,0.292101,9,0.0853233,124.615,0.320748
11,1,4.11118,4.63641,5.39628,0.571455,8,0.326561,933.075,0.397251
11,2,7.95142,2.33266,3.31188,0.546552,6.5,0.298719,816.328,0.250466
11,3,2.4363,3.04492,6.14032,0.0794286,5,0.00630891,2.50554,0.147496
11,4,7.54969,3.17869,5.46893,0.0117172,4.5,0.000137292,0.00804337,-0.722807
11,5,5.64441,4.88995,6.17254,0.135882,4,0.0184639,12.5446,0.33894
11,6,5.34885,3.26171,3.29823,0.617149,3.5,0.380873,1175.28,-0.200532
11,7,4.32643,1.8945,5.28632,0.048464,2,0.00234876,0.569152,0.0566974
11,8,5.08916,1.1327,5.05612,0.684854,1.5,0.469025,1606.07,-1.7072
11.5,0,7.37264,6.55261,7.74541,0.292101,9.5,0.0853233,124.615,0.320748
11.5,1,4.05095,4.89043,5.42574,0.571455,8.5,0.326561,933.075,0.397251
11.5,2,8.19462,2.44738,3.17439,0.546552,7,0.298719,816.328,0.250466
11.5,3,2.15144,3.27214,6.26702,0.0794286,5.5,0.00630891,2.50554,0.147496
11.5,4,7.8684,3.45102,5.52755,0.0117172,5,0.000137292,0.00804337,-0.722807
11.5,5,5.73647,5.44565,6.34004,0.135882,4.5,0.0184639,12.5446,0.33894
11.5,6,5.42833,3.79953,2.8953,0.617149,4,0.380873,1175.28,-0.200532
11.5,7,4.1019,2.19267,5.38176,0.048464,2.5,0.00234876,0.569152,0.0566974
11.5,8,5.02375,1.4376,5.11167,0.723298,2,0.52316,1892,-0.909703
12,0,7.51221,6.87923,7.9069,0.292101,10,0.0853233,124.615,0.320748
12,1,3.99072,5.14446,5.4552,0.571455,9,0.326561,933.075,0.397251
12,2,8.43782,2.5621,3.0369,0.546552,7.5,0.298719,816.328,0.250466
12,3,1.86658,3.49935,6.39372,0.0794286,6,0.00630891,2.50554,0.147496
12,4,8.18711,3.72336,5.58616,0.0117172,5.5,0.000137292,0.00804337,-0.722807
12,5,5.82853,6.00136,6.50755,0.135882,5,0.0184639,12.5446,0.33894
12,6,5.5078,4.33734,2.49237,0.617149,4.5,0.380873,1175.28,-0.200532
12,7,3.87738,2.49084,5.4772,0.048464,3,0.00234876,0.569152,0.0566974
12,8,4.95993,1.75833,5.18787,0.723298,2.5,0.52316,1892,-0.909703
12,9,5,1,5,0.458518,0.5,0.210239,481.992,0.376469
12.5,0,7.65178,7.20586,8.0684,0.292101,10.5,0.0853233,124.615,0.320748
12.5,1,3.93049,5.39849,5.48466,0.571455,9.5,0.326561,933.075,0.397251
12.5,2,8.68102,2.67682,2.89941,0.546552,8,0.298719,816.328,0.250466
12.5,3,1.58173,3.72657,6.52043,0.0794286,6.5,0.00630891,2.50554,0.147496
12.5,4,8.50583,3.9957,5.64478,0.0117172,6,0.000137292,0.00804337,-0.722807
12.5,5,5.92059,6.55707,6.67505,0.135882,5.5,0.0184639,12.5446,0.33894
12.5,6,5.58728,4.87516,2.08944,0.617149,5,0.380873,1175.28,-0.200532
12.5,7,3.65285,2.789,5.57264,0.048464,3.5,0.00234876,0.569152,0.0566974
12.5,8,4.89611,2.07906,5.26407,0.723298,3,0.52316,1892,-0.909703
12.5,9,5.20071,1.40913,5.48234,0.458518,1,0.210239,481.992,0.376469
12.5,10,5,1,5,0.378484,0.5,0.14325,271.09,0.71371
13,0,7.79134,7.53248,8.22989,0.292101,11,0.0853233,124.615,0.320748
13,1,3.87026,5.65252,5.51411,0.571455,10,0.326561,933.075,0.397251
13,2,8.92421,2.79153,2.76192,0.546552,8.5,0.298719,816.328,0.250466
13,3,1.29687,3.95378,6.64713,0.0794286,7,0.00630891,2.50554,0.147496
13,4,8.82454,4.26803,5.7034,0.0117172,6.5,0.000137292,0.00804337,-0.722807
13,5,6.01264,7.11278,6.84256,0.135882,6,0.0184639,12.5446,0.33894
13,6,5.66675,5.41298,1.68651,0.617149,5.5,0.380873,1175.28,-0.200532
13,7,3.42833,3.08717,5.66808,0.048464,4,0.00234876,0.569152,0.0566974
13,8,4.83229,2.39979,5.34027,0.723298,3.5,0.52316,1892,-0.909703
13,9,5.40142,1.81826,5.96467,0.458518,1.5,0.210239,481.992,0.376469
13,10,5.19123,1.02201,5.72567,0.378484,1,0.14325,271.09,0.71371
13,11,5,1,5,0.480182,0.5,0.230574,553.588,-0.369609
13.5,0,7.93091,7.8591,8.39138,0.292101,11.5,0.0853233,124.615,0.320748
13.5,1,3.81004,5.90655,5.54357,0.571455,10.5,0.326561,933.075,0.397251
13.5,2,9.16741,2.90625,2.62443,0.546552,9,0.298719,816.328,0.250466
13.5,3,1.01202,4.18099,6.77383,0.0794286,7.5,0.00630891,2.50554,0.147496
13.5,4,9.14325,4.54037,5.76201,0.0117172,7,0.000137292,0.00804337,-0.722807
13.5,5,6.1047,7.66848,7.01007,0.135882,6.5,0.0184639,12.5446,0.33894
13.5,6,5.74623,5.9508,1.28357,0.617149,6,0.380873,1175.28,-0.200532
13.5,7,3.2038,3.38534,5.76352,0.048464,4.5,0.00234876,0.569152,0.0566974
13.5,8,4.76847,2.72052,5.41648,0.723298,4,0.52316,1892,-0.909703
13.5,9,5.60213,2.22739,6.44701,0.458518,2,0.210239,481.992,0.376469
13.5,10,5.38246,1.04402,6.45135,0.378484,1.5,0.14325,271.09,0.71371
